,class_normal,method,best_threshold,best_roc_score
0,0,mse,0.0065968783884309224,0.840881602288583
0,0,rmse,0.08177399586886165,0.8413855603312275
0,0,euclid_dist,2.289671823978425,0.8413855603312275
0,0,mse,0.013608068773895506,0.8313335892645698
0,0,rmse,0.11752103378176687,0.8327278594352441
0,0,euclid_dist,3.2905889932632455,0.8327278594352441
0,0,mse,0.011503378015011547,0.8345555555555556
0,0,rmse,0.10643526479601857,0.8362222222222222
0,0,euclid_dist,2.9801875090599053,0.8362222222222222
0,0,mse,0.006547336642909795,0.8303136940898035
0,0,rmse,0.0808097416341305,0.8295399991851181
0,0,euclid_dist,2.262672771644592,0.8295399991851181
0,0,mse,0.007080152641236782,0.8347833806818182
0,0,rmse,0.08389328920841219,0.8355632380793228
0,0,euclid_dist,2.349012162208558,0.8355632380793228
0,0,mse,0.005932167570199817,0.8133367860097066
0,0,rmse,0.09175714559555057,0.8140962528091121
0,0,euclid_dist,2.5692000486373905,0.8140962528091121
0,0,mse,0.008206859454140066,0.8299208822824262
0,0,rmse,0.09040026720315215,0.8294436643034102
0,0,euclid_dist,2.531207494401931,0.8294436643034102
0,0,mse,0.008901222267374395,0.8125485829075505
0,0,rmse,0.09288818407058712,0.8139503908467619
0,0,euclid_dist,2.6008690910339363,0.8139503908467619
0,0,mse,0.010261850383691484,0.8177856334452677
0,0,rmse,0.10045993536934254,0.8174588808601955
0,0,euclid_dist,2.812878489017487,0.8174588808601955
0,0,mse,0.009994518855214119,0.801555523183455
0,0,rmse,0.09958668230846528,0.8021318778136933
0,0,euclid_dist,2.7884269049167645,0.8021318778136933
0,0,mse,0.006354283279180528,0.844537268952281
0,0,rmse,0.07654844471290707,0.8442154019227911
0,0,euclid_dist,2.1433563294410702,0.8442154019227911
0,0,mse,0.00837998083755374,0.8273831831462287
0,0,rmse,0.09163129211068152,0.827162237498858
0,0,euclid_dist,2.5656761106491097,0.827162237498858
0,0,mse,0.008026917634159327,0.8139040262877355
0,0,rmse,0.09066651160568,0.8147978620740176
0,0,euclid_dist,2.538662377929688,0.8147978620740176
0,0,mse,0.006176213275175543,0.8258652183475412
0,0,rmse,0.0791166801467538,0.8261837063220412
0,0,euclid_dist,2.215267096090316,0.8261837063220412
0,0,mse,0.007483096602931616,0.8087837289793269
0,0,rmse,0.08959624940827492,0.8101761275450409
0,0,euclid_dist,2.5086948414087304,0.8101761275450409
0,0,mse,0.006624255952239037,0.8411816013151149
0,0,rmse,0.08086176283285018,0.8405684968498487
0,0,euclid_dist,2.2641293815374377,0.8405684968498487
0,0,mse,0.010336452347040174,0.8190838027861478
0,0,rmse,0.09936722701787945,0.8198371107908642
0,0,euclid_dist,2.7822821459770197,0.8198371107908642
0,0,mse,0.008059794405475258,0.8000648365865187
0,0,rmse,0.08933664444833996,0.8004897240652581
0,0,euclid_dist,2.501426069140434,0.8004897240652581
0,0,mse,0.006450080641172824,0.8190280230631429
0,0,rmse,0.08079886183887718,0.8189054097420089
0,0,euclid_dist,2.2623681017875654,0.8189054097420089
0,0,mse,0.006316190418601035,0.826770802668631
0,0,rmse,0.0808244679670781,0.8284697504039209
0,0,euclid_dist,2.2630851516127586,0.8284697504039209
0,0,mse,0.0069073145696893325,0.8197190354680552
0,0,rmse,0.08156574144959453,0.8192228699458539
0,0,euclid_dist,2.283840760588645,0.8192228699458539
0,0,mse,0.007170447245892141,0.8226637787249814
0,0,rmse,0.08231959101408724,0.8229108753397579
0,0,euclid_dist,2.304948588538169,0.8229108753397579
0,0,mse,0.006450080641172824,0.8190280230631429
0,0,rmse,0.08079886183887718,0.8189054097420089
0,0,euclid_dist,2.2623681017875654,0.8189054097420089
0,0,mse,0.010627128334715965,0.822300741726032
0,0,rmse,0.10353172723948954,0.8227372874297245
0,0,euclid_dist,2.898888235092163,0.8227372874297245
0,0,mse,0.008460520869120955,0.8250240293054396
0,0,rmse,0.0846957996748388,0.8272663061239549
0,0,euclid_dist,2.371482420444489,0.8272663061239549
0,0,mse,0.00693544308822602,0.8151904623437046
0,0,rmse,0.08297680855840447,0.8151323059028788
0,0,euclid_dist,2.3233506720066077,0.8151323059028788
0,0,mse,0.006331686764210464,0.8178768820278255
0,0,rmse,0.07926029255986217,0.818875772149912
0,0,euclid_dist,2.2192884330749516,0.818875772149912
0,0,mse,0.007665079138241708,0.8408559283750471
0,0,rmse,0.07783532148599624,0.8412100406123171
0,0,euclid_dist,2.1793891253471376,0.8412100406123171
0,0,mse,0.006930681412573903,0.819852331176373
0,0,rmse,0.08210792137496173,0.8230508003837802
0,0,euclid_dist,2.2990216847062115,0.8230508003837802
0,0,mse,0.007251934628933665,0.8351765796751429
0,0,rmse,0.08642326167672873,0.8345781872483113
0,0,euclid_dist,2.419851093864441,0.8345781872483113
0,0,mse,0.013958050443790861,0.8175715562595882
0,0,rmse,0.11838299017399549,0.8184473304847154
0,0,euclid_dist,3.314724110662936,0.8184473304847154
0,0,mse,0.006593115243315699,0.8132083252865562
0,0,rmse,0.0825119550779462,0.8124441175842317
0,0,euclid_dist,2.3103345727682116,0.8124441175842317
0,0,mse,0.007485727474978196,0.8244671266139637
0,0,rmse,0.08466041533946989,0.8233208266205649
0,0,euclid_dist,2.3704915563583384,0.8233208266205649
0,0,mse,0.0062296175491064806,0.8188819026635669
0,0,rmse,0.07858952832221984,0.8180387893171348
0,0,euclid_dist,2.2005066981315617,0.8180387893171348
0,0,mse,0.008541152879456058,0.8168888888888889
0,0,rmse,0.09208088672161098,0.8147777777777778
0,0,euclid_dist,2.5782649110198026,0.8147777777777778
0,0,mse,0.0066671273278072485,0.8411925115266934
0,0,rmse,0.08225010179802773,0.8416649615023866
0,0,euclid_dist,2.3030029181241987,0.8416649615023866
0,0,mse,0.018376764449849724,0.8250468119189098
0,0,rmse,0.13449864815771573,0.8259246030457512
0,0,euclid_dist,3.765962182331087,0.8259246030457512
0,0,mse,0.0061773944666609175,0.8316360990418895
0,0,rmse,0.07854779711365696,0.8318589154411765
0,0,euclid_dist,2.19933830242157,0.8318589154411765
0,0,mse,0.0064347486533224574,0.8365469205164312
0,0,rmse,0.07980114462971684,0.8365666062533273
0,0,euclid_dist,2.2344320135116584,0.8365666062533273
0,0,mse,0.006976136162178591,0.8259828626800049
0,0,rmse,0.0823872249107808,0.8277702883441778
0,0,euclid_dist,2.306842182397841,0.8277702883441778
0,0,mse,0.0066671273278072485,0.8411925115266934
0,0,rmse,0.08225010179802773,0.8416649615023866
0,0,euclid_dist,2.3030029181241987,0.8416649615023866
0,0,mse,0.007391055448539556,0.8259881799694968
0,0,rmse,0.0866852276399732,0.8258593176297802
0,0,euclid_dist,2.427186187505723,0.8258593176297802
0,0,mse,0.007913995828432963,0.8065510895604808
0,0,rmse,0.08266869717910891,0.8063469896500869
0,0,euclid_dist,2.3147234014034264,0.8063469896500869
0,0,mse,0.007250985039398073,0.8209346868416012
0,0,rmse,0.08658506970480084,0.8213033901551428
0,0,euclid_dist,2.4243819447159765,0.8213033901551428
0,0,mse,0.006603285804390907,0.8246276494823007
0,0,rmse,0.08187911414168769,0.8252324226161436
0,0,euclid_dist,2.2926152327537532,0.8252324226161436
0,0,mse,0.009229910588404165,0.8461389888485511
0,0,rmse,0.0950233641862869,0.8463234889306775
0,0,euclid_dist,2.6606543483734124,0.8463234889306775
0,0,mse,0.00698737267954275,0.8340700927777808
0,0,rmse,0.07975064485967155,0.8333670266006099
0,0,euclid_dist,2.233017968559266,0.8333670266006099
0,0,mse,0.006939392294269056,0.834950206043956
0,0,rmse,0.08467551263794301,0.8371050824175824
0,0,euclid_dist,2.3709143130779258,0.8371050824175824
0,0,mse,0.011446533590555195,0.8162564103251533
0,0,rmse,0.10657739437371497,0.8168048933172654
0,0,euclid_dist,2.9841668599843967,0.8168048933172654
0,0,mse,0.0072833099858835345,0.8067777777777777
0,0,rmse,0.08742408414557577,0.8076666666666665
0,0,euclid_dist,2.44787430357933,0.8076666666666665
0,1,mse,0.006642605385556818,0.9557898743212649
0,1,rmse,0.0832785938747227,0.9558704291707767
0,1,euclid_dist,2.331800419211387,0.9558704291707767
0,1,mse,0.0047523414571769545,0.9561131403920582
0,1,rmse,0.06960340899862348,0.9555543563062289
0,1,euclid_dist,1.9488954909086231,0.9555543563062289
0,1,mse,0.004871300160256216,0.9615597023601907
0,1,rmse,0.06834350409731269,0.9623354115800489
0,1,euclid_dist,1.9136180310249322,0.9623354115800489
0,1,mse,0.00666098475328181,0.9517194798394835
0,1,rmse,0.07949949086531996,0.9527170314857664
0,1,euclid_dist,2.2259856336951254,0.9527170314857664
0,1,mse,0.006625130281364545,0.9575025121257488
0,1,rmse,0.08132618415951731,0.9575025121257488
0,1,euclid_dist,2.277133024823666,0.9575025121257488
0,1,mse,0.006693280556239187,0.9563903810861215
0,1,rmse,0.08139297352172437,0.9566114244106132
0,1,euclid_dist,2.2790030750334256,0.9566114244106132
0,1,mse,0.003461161777679809,0.9615357011904921
0,1,rmse,0.05587049465104936,0.9614919956809754
0,1,euclid_dist,1.5643737082958218,0.9614919956809754
0,1,mse,0.005868402310879902,0.9583836440660622
0,1,rmse,0.07625633317753673,0.9584953509472061
0,1,euclid_dist,2.1351772764503956,0.9584953509472061
0,1,mse,0.00698156061542686,0.9515404417870786
0,1,rmse,0.09081521080434321,0.9520802192326856
0,1,euclid_dist,2.5428258187294013,0.9520802192326856
0,1,mse,0.00925188423343934,0.955076947259588
0,1,rmse,0.08089163862168793,0.9546408427769941
0,1,euclid_dist,2.264965814352035,0.9546408427769941
0,1,mse,0.0050009701139060786,0.9585874668934852
0,1,rmse,0.07071369330883026,0.9585874668934852
0,1,euclid_dist,1.9799833625793462,0.9585874668934852
0,1,mse,0.005868402310879902,0.9583836440660622
0,1,rmse,0.07625633317753673,0.9584953509472061
0,1,euclid_dist,2.1351772764503956,0.9584953509472061
0,1,mse,0.00533402354037389,0.9616925923896466
0,1,rmse,0.0729684199050069,0.9616925923896466
0,1,euclid_dist,2.0431157203435895,0.9616925923896466
0,1,mse,0.005850321359932424,0.9510851769232344
